SMILES,BP-Measured,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_aldehyde,fr_allylic_oxid,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_term_acetylene,fr_unbrch_alkane
C=O,-19.1,8.0,2.0,8.0,2.0,0.36062445834190227,30.026,28.009999999999998,30.010564684,12,0.10638225365854179,-0.3070970261864102,0.3070970261864102,0.10638225365854179,1.5,1.5,1.5,16.12066443463986,11.889335565360136,0.6363523793257957,-0.8370671518536642,0.49444444461835313,-0.9253444446183531,5.10494426232814,-0.09794426232813992,2.0,2.0,2.0,1.1153550716504106,1.1153550716504106,1.0,0.2886751345948129,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,2.0,1.6699999999999997,0.6700000000000002,-5.360303030303031,12.900773127873316,4.794537184071822,6.78907609989417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,6.78907609989417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78907609989417,4.794537184071822,0.0,0.0,0.0,0.0,17.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78907609989417,0.0,4.794537184071822,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.1849,7.121,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1c2ccccc2c2ccc3cccc4ccc1c2c34,495.0,2.309074074074074,1.3179454837490554,2.309074074074074,1.3179454837490554,0.24345418372476169,252.31599999999997,240.21999999999994,252.093900384,92,-0.0020351483441468734,-0.06162863921924358,0.06162863921924358,0.0020351483441468734,0.4,1.1,2.0,14.126846279404472,9.910302212042629,2.0941152955904183,-2.1228891175133753,2.375276775749175,-1.8460058247375353,6.282882235162667,1.7826781613557365,2.2308401762301724,1069.7218869027129,13.10408352775558,10.928203230275512,10.928203230275512,9.915816237971967,6.970084679281464,6.970084679281464,5.453738644055911,5.453738644055911,4.370903899401219,4.370903899401219,3.4894938406919622,3.4894938406919622,-2.5999999999999988,105539.33725817603,10.21902349550179,3.486521567643158,1.1630091486510117,116.13708612657337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.73003775307771,49.15616078417998,0.0,0.0,0.0,43.089793715718365,0.0,0.0,0.0,72.79640482153933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.79640482153933,43.089793715718365,0.0,0.0,0.0,0.0,0.0,0.0,43.089793715718365,0.0,0.0,72.79640482153933,0.0,0.0,0.0,10.820693972033261,0.0,0.0,26.512639361300074,0.0,0.0,0.0,0.0,20,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,5.737200000000003,87.65200000000004,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
c1c2c3ccccc3ccc2cc2ccccc21,437.6,2.298611111111111,1.3058158541194258,2.298611111111111,1.3058158541194258,0.288354374686931,228.29399999999998,216.19799999999995,228.093900384,84,-0.00990254742768067,-0.061629349753120066,0.061629349753120066,0.00990254742768067,0.3888888888888889,1.0,1.8333333333333333,14.051853238626292,9.983777203710284,2.0121869012054474,-2.056237446802424,2.2861758122525817,-1.7866302591685281,6.114606162662152,1.7720988144234178,2.2682658131303026,866.2526221384028,11.949382989376328,9.928203230275512,9.928203230275512,8.915816237971965,6.220084679281464,6.220084679281464,4.707192967749858,4.707192967749858,3.611270912809064,3.611270912809064,2.6962336086121224,2.6962336086121224,-2.339999999999999,30957.370184503747,9.66576917112106,3.5754525382851057,1.3242908004158631,105.47639671470259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6636706846161,44.450079423712,0.0,0.0,0.0,32.31734528678877,0.0,0.0,0.0,72.79640482153933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.79640482153933,32.31734528678877,0.0,0.0,0.0,0.0,0.0,0.0,32.31734528678877,0.0,0.0,72.79640482153933,0.0,0.0,0.0,7.904507747543463,0.0,0.0,26.095492252456538,0.0,0.0,0.0,0.0,18,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,5.146200000000003,78.96000000000004,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OC(CO)CO,290.0,8.166666666666668,-0.9537037037037039,8.166666666666668,0.36458333333333326,0.3814944322102413,92.094,84.03,92.047344116,38,0.10004702601723478,-0.3935933161206694,0.3935933161206694,0.10004702601723478,1.1666666666666667,1.5,1.5,16.344803208507123,10.418392587147737,1.9328105574467456,-1.9633086591105846,1.7123879794103916,-2.153670382242674,4.434895881394916,0.045021492542463785,2.7541847860376616,25.219280948873624,4.99156383156272,3.3332046180625947,3.3332046180625947,2.808060412490447,1.7071510027085628,1.7071510027085628,1.0189718779350343,1.0189718779350343,0.4214982059327063,0.4214982059327063,0.05773502691896257,0.05773502691896257,-0.12,19.800269059780252,5.88,3.0849180327868857,2.1377319587628865,35.851836513210806,15.319582184522117,6.103966387748303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,15.319582184522117,0.0,0.0,6.103966387748303,13.213763929025836,0.0,0.0,0.0,0.0,0.0,34.63731250129626,0.0,0.0,0.0,0.0,0.0,60.69,6.103966387748303,0.0,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,15.319582184522117,0.0,0.0,24.016203703703706,0.0,0.0,0.0,-0.9537037037037039,-0.7291666666666665,0.0,1.0,6,3,3,0,0,0,0,0,0,3,3,3,2,0,0,0,0,-1.6681000000000001,20.1784,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCCCCCCCC(O)=O,383.0,10.333207244414826,-0.6530610164081214,10.333207244414826,0.3454921184159938,0.3360419785922725,284.4839999999999,248.19599999999994,284.271530392,120,0.30283955653218375,-0.481230389785217,0.481230389785217,0.30283955653218375,0.6,0.9,1.2,16.36513249471366,10.038322990094668,1.9655332621108423,-2.026230629915382,2.130626095537135,-1.9294768815346757,5.660163678235025,-0.13665319616589636,2.938980066543728,201.59490309182667,14.891058768174391,13.669170384948586,13.669170384948586,9.770055610029663,8.988391114761729,8.988391114761729,6.093486011529184,6.093486011529184,3.994195557380866,3.994195557380866,2.647546068712554,2.647546068712554,-0.53,22676.463752160347,19.470000000000002,16.52414185165133,17.470000000000002,125.89902282481172,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,96.81523992065479,6.4208216229260096,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,109.65688316650682,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,109.65688316650682,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,6.4208216229260096,12.841643245852019,83.47068109803816,0.0,0.0,6.923737199690624,5.106527394840706,0.0,10.333207244414826,8.51732177827958,0.0,-0.6530610164081214,0.0,20.199197231189736,2.2700014291906463,0.0,0.9444444444444444,20,1,2,0,0,0,0,0,0,1,1,2,16,0,0,0,0,6.332500000000007,87.18180000000008,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
O=C1CCO1,162.0,9.677083333333334,-0.06481481481481444,9.677083333333334,0.06481481481481444,0.37438135799613564,72.063,68.03099999999999,72.021129368,28,0.30876178270908533,-0.4649625568301388,0.4649625568301388,0.30876178270908533,1.8,2.2,2.2,16.55521373491538,10.382519326839189,2.104583453057343,-2.0860854166489413,1.96515995784488,-2.182101399218012,5.732167825633094,-0.15674413181240793,2.3224050495909916,51.91340299823497,3.698670612749268,2.730710143300821,2.730710143300821,2.393846850117352,1.5504768156519495,1.5504768156519495,0.9704701804574841,0.9704701804574841,0.5692359281787078,0.5692359281787078,0.1853954059492991,0.1853954059492991,-0.53,10.39035952556319,2.693713646532438,0.707536304055025,0.25060486148478145,29.738371432644183,4.736862953800049,6.606881964512918,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,9.53140013787187,5.969305287951849,0.0,6.4208216229260096,6.606881964512918,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,0.0,6.4208216229260096,0.0,0.0,26.3,0.0,4.794537184071822,5.969305287951849,13.027703587438928,0.0,0.0,0.0,0.0,4.736862953800049,0.0,4.291666666666667,9.677083333333334,0.0,0.0,-0.06481481481481444,0.0,0.6249999999999999,0.6377314814814814,0.0,0.6666666666666666,5,0,2,0,1,1,0,0,0,2,0,2,0,0,1,1,1,-0.06669999999999998,15.576,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,360.0,10.209831349110091,-0.076591607208508,10.209831349110091,0.076591607208508,0.4883117604002477,386.6640000000002,340.2960000000001,386.354866092,160,0.05774005746539304,-0.3927966848471336,0.3927966848471336,0.05774005746539304,1.0,1.7857142857142858,2.5357142857142856,16.26594455596378,9.46645662269592,2.585078014742827,-2.580743786096036,2.6685503909774146,-2.503935827443321,5.249769305391365,-0.05725685201226419,1.4894525128431004,591.0697059458731,20.10408352775558,19.344190342068988,19.344190342068988,13.253691300962933,12.62984502164988,12.62984502164988,12.186366774753228,12.186366774753228,10.27908127595862,10.27908127595862,8.66624457896859,8.66624457896859,-0.3,2160246.041455283,20.95200267376842,7.750696834249698,3.420973361929967,174.30905210803618,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5302755041343,97.70399019917002,0.0,6.103966387748303,5.106527394840706,0.0,46.33741721576191,111.35169023838755,0.0,11.64912463690315,0.0,0.0,0.0,0.0,11.210493782589008,0.0,46.33741721576191,105.24772385063925,11.64912463690315,0.0,20.23,0.0,5.106527394840706,6.103966387748303,10.82998093879356,48.349079522820375,57.787394606334104,5.573104530069267,0.0,40.694706105287,0.0,0.0,0.0,10.209831349110091,2.603106851454771,5.457280535464122,0.0,17.161938756653903,12.567842507317113,0.0,0.9259259259259259,28,1,1,4,0,4,0,0,0,1,1,1,5,3,0,3,4,7.388700000000009,119.05280000000009,0,1,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
OCCc1ccccc1,218.2,8.519688208616781,0.24009259259259252,8.519688208616781,0.24009259259259252,0.6249752698115418,122.16699999999996,112.08699999999997,122.07316494,48,0.04709448741986935,-0.3960313152991432,0.3960313152991432,0.04709448741986935,1.1111111111111112,1.7777777777777777,2.3333333333333335,16.249950507455196,10.160386613032658,1.8487273253644483,-1.9290453238323417,1.9679455289082408,-1.8758469596295961,5.138812350059316,0.29940231473405127,2.61489994009295,157.4784207656209,6.52709773749546,5.248178503821182,5.248178503821182,4.431851652578137,3.080464759133071,3.080464759133071,1.959205357403468,1.959205357403468,1.2433031955472913,1.2433031955472913,0.7737766827159379,0.7737766827159379,-0.8200000000000001,145.16653667335345,6.302249388753057,3.2539886368490754,1.8590386018272278,54.95552110048619,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,11.984273114623004,6.606881964512918,0.0,5.106527394840706,0.0,0.0,6.4208216229260096,6.606881964512918,35.89528683400505,0.0,0.0,0.0,0.0,11.713409359353623,6.4208216229260096,0.0,5.563451491696996,30.33183534230805,0.0,20.23,0.0,0.0,6.606881964512918,0.0,6.4208216229260096,5.563451491696996,0.0,30.33183534230805,0.0,5.106527394840706,0.0,0.0,8.519688208616781,1.1944444444444446,0.0,9.947719198790626,0.7647222222222221,0.24009259259259252,0.0,0.25,9,1,1,0,0,0,1,0,1,1,1,1,2,0,0,0,1,1.2214,37.23180000000001,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCC/C=C\C/C=C\CCCCCCCC(O)=O,365.2,10.318565412720048,-0.670664658018173,10.318565412720048,0.32390232528264007,0.3182616134760953,280.4519999999999,248.19599999999994,280.240230264,116,0.3028395565321945,-0.4812303897852169,0.4812303897852169,0.3028395565321945,0.8,1.35,1.95,16.36513192431608,10.09106507684613,1.951860540147705,-1.975754283229486,2.0754638506856486,-1.9284058637659995,5.6601764443863445,-0.13665293928718109,3.1737658828976505,266.5917875070114,14.891058768174391,13.1501443369609,13.1501443369609,9.770055610029663,8.288050943283851,8.288050943283851,5.374473848543474,5.374473848543474,3.341276041487305,3.341276041487305,2.0876529762903813,2.0876529762903813,-1.05,22676.463752160347,18.95,16.005710306406684,16.95,124.51981676044319,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,63.33192574165621,38.524929737556064,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,83.97359667480276,0.0,24.304080427335524,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,83.97359667480276,24.304080427335524,0.0,37.3,5.969305287951849,4.794537184071822,0.0,6.4208216229260096,25.683286491704038,44.94575136048208,0.0,0.0,31.227817627026145,5.106527394840706,0.0,10.318565412720048,8.502679946584802,0.0,-0.670664658018173,0.0,22.28135034621706,2.2347356191629317,0.0,0.7222222222222222,20,1,2,0,0,0,0,0,0,1,1,2,14,0,0,0,0,5.884500000000005,86.99380000000006,1,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
OC=O,101.0,8.36111111111111,-0.25,8.36111111111111,0.25,0.3801607209681124,46.025,44.009,46.005479304,18,0.29012882761761255,-0.483466609975982,0.483466609975982,0.29012882761761255,2.0,2.0,2.0,16.34596655894873,11.664976543957307,1.2177206604281547,-1.3390094248455595,0.9661560389561396,-1.4870251687793092,5.323236903758448,-0.12240733936195677,2.1874960973678963,10.264662506490405,2.7071067811865475,1.432812155153447,1.432812155153447,1.4142135623730951,0.49390115014267705,0.49390115014267705,0.105409255338946,0.105409255338946,0.0,0.0,0.0,0.0,-0.53,2.7548875021634682,2.4699999999999993,1.4699999999999982,1.4700000000000009,17.69500688006933,5.106527394840706,0.0,0.0,0.0,6.472220864716464,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.901064578912528,6.472220864716464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57874825955717,4.794537184071822,0.0,0.0,0.0,0.0,37.3,0.0,0.0,6.472220864716464,0.0,0.0,0.0,0.0,0.0,0.0,9.901064578912528,0.0,8.36111111111111,6.888888888888889,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,3,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,-0.29919999999999997,8.6928,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(O)=O,117.9,9.0,-0.8333333333333333,9.0,0.8333333333333333,0.4298828832001217,60.05200000000001,56.02,60.021129368000004,24,0.2996845531582142,-0.481433475172105,0.481433475172105,0.2996845531582142,2.0,2.0,2.0,16.363929068063165,10.854985217204096,1.6509951854331448,-1.5897739953032315,1.4156543939895583,-1.7770437432804942,5.624779759282926,-0.1339289924624054,2.8030394876740514,27.019550008653873,3.5773502691896257,2.355461885963821,2.355461885963821,1.7320508075688772,0.9277309429819105,0.9277309429819105,0.5190180358994382,0.5190180358994382,0.0,0.0,0.0,0.0,-0.53,3.2451124978365313,3.4699999999999998,0.8748582995951415,1.1560092559629747,24.059948994465934,5.106527394840706,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,9.901064578912528,5.969305287951849,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,37.3,5.969305287951849,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,9.901064578912528,0.0,9.0,7.416666666666666,0.0,-0.8333333333333333,0.0,0.0,1.0833333333333333,0.0,0.5,4,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.09089999999999993,13.309800000000001,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCC=O,131.0,9.67967970521542,0.7438888888888888,9.67967970521542,0.7438888888888888,0.3883941773179649,100.16099999999999,88.06499999999998,100.088815004,42,0.11949019725434507,-0.303402908155129,0.303402908155129,0.11949019725434507,1.4285714285714286,2.142857142857143,2.5714285714285716,16.128719593784886,10.204936414232245,1.7957032534149102,-1.8527052605870618,1.9402380868566855,-1.7337353710701222,5.484088504151358,-0.10746230103742693,2.558780869327957,41.444678358882754,5.535533905932738,4.814025684399679,4.814025684399679,3.414213562373095,2.8510573320459267,2.8510573320459267,1.6624485824480268,1.6624485824480268,0.925528666022963,0.925528666022963,0.47767090063073964,0.47767090063073964,-0.33,35.509609925153406,6.670000000000001,5.670000000000001,5.669999999999999,44.72548369985635,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.765380445542643,6.4208216229260096,6.4208216229260096,0.0,4.794537184071822,6.286160523129555,0.0,32.60702369139466,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,32.60702369139466,0.0,0.0,17.07,0.0,4.794537184071822,0.0,0.0,19.127803768981575,12.841643245852019,0.0,0.0,6.923737199690624,0.0,0.0,9.67967970521542,0.0,0.0,0.0,0.0,5.190555555555556,2.129764739229025,0.0,0.8333333333333334,7,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,1.7656,30.20599999999998,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
O=Cc1cccc2ccccc21,292.0,10.620466742252457,0.7575000000000003,10.620466742252457,0.7575000000000003,0.5799126988766784,156.18399999999997,148.11999999999998,156.057514876,58,0.15017373557742889,-0.2978723295252203,0.2978723295252203,0.15017373557742889,0.9166666666666666,1.6666666666666667,2.5,16.128949952368473,10.061608541997689,1.9562094187885783,-1.9760418375497006,2.15690585596523,-1.8068783146261291,5.97357923989492,0.11196577938587596,2.8761125164446106,412.77855589925514,8.38890505706126,6.527050443980871,6.527050443980871,5.91501490017253,3.845744600036248,3.845744600036248,2.6862268031718233,2.6862268031718233,1.9503285066033442,1.9503285066033442,1.3532299751094423,1.3532299751094423,-1.63,902.1138495051405,7.042664644650361,2.778707107145413,0.9955232090784538,70.63953186567254,0.0,0.0,6.286160523129555,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,42.46456947923127,10.772448428929591,5.563451491696996,0.0,4.794537184071822,17.058608952059146,0.0,0.0,0.0,48.02802097092827,0.0,0.0,0.0,0.0,6.286160523129555,0.0,0.0,10.357988675768818,42.46456947923127,10.772448428929591,17.07,0.0,4.794537184071822,0.0,0.0,22.622060443756144,0.0,0.0,42.46456947923127,0.0,0.0,0.0,10.620466742252457,2.1362037037037043,0.7575000000000003,0.0,13.594625850340137,0.8912037037037035,0.0,0.0,0.0,12,0,1,0,0,0,2,0,2,1,0,1,1,0,0,0,2,2.652300000000001,49.335500000000025,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,64.7,7.0,1.0,7.0,1.0,0.38528440447384316,32.042,28.009999999999998,32.026214748,14,0.031940683717728124,-0.3996302435573072,0.3996302435573072,0.031940683717728124,1.5,1.5,1.5,16.235703028195374,11.774296971804631,0.8391720167738221,-1.2068615766134012,0.7545197820005356,-1.2473197820005355,3.1778074852252667,0.39899251477473313,1.0,2.0,2.0,1.4472135954999579,1.4472135954999579,1.0,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,2.0,1.96,0.9600000000000016,-27.040000000000028,13.533484780025564,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109797541277533,0.0,5.106527394840706,0.0,0.0,0.0,7.109797541277533,0.0,0.0,0.0,0.0,0.0,12.216324936118239,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,7.109797541277533,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-0.3915,8.1428,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)O,82.3,8.055555555555555,-0.16666666666666674,8.055555555555555,0.16666666666666674,0.42840479403162834,60.096000000000004,52.032000000000004,60.057514876,26,0.04834761180869219,-0.3937069016405105,0.3937069016405105,0.04834761180869219,1.5,1.5,1.5,16.26364309024246,10.503601865317728,1.6882269952162394,-1.7983014802258805,1.64578110289585,-1.848436775374454,4.204004313602449,0.21562482738807573,2.3237900077244498,8.0,3.5773502691896257,3.0245638646895836,3.0245638646895836,1.7320508075688772,1.412899428126413,1.412899428126413,1.0937480486839481,1.0937480486839481,0.0,0.0,0.0,0.0,-0.04,3.2451124978365313,3.9600000000000004,1.297837837837838,1128.9599999999998,26.263369008818774,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,6.103966387748303,0.0,5.106527394840706,0.0,0.0,19.95144078712955,0.0,0.0,0.0,0.0,0.0,0.0,11.210493782589008,0.0,0.0,13.847474399381248,0.0,0.0,20.23,0.0,0.0,6.103966387748303,0.0,0.0,0.0,13.847474399381248,0.0,0.0,5.106527394840706,0.0,0.0,8.055555555555555,0.0,0.0,0.0,-0.16666666666666674,3.4444444444444446,0.0,1.0,4,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.38710000000000006,17.354800000000004,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCO,97.2,7.875,0.3194444444444444,7.875,0.3194444444444444,0.46378398302396845,60.096,52.032000000000004,60.057514876,26,0.04278927992053378,-0.39638735063233616,0.39638735063233616,0.04278927992053378,1.75,2.0,2.0,16.24985029953303,10.547573166539827,1.5677116084812683,-1.6891847809432488,1.6080928326075683,-1.6908528015472257,4.09636113465441,0.29476856785792466,1.9747448713915894,5.245112497836532,3.414213562373095,2.861427157873053,2.861427157873053,1.914213562373095,1.5233345472033855,1.5233345472033855,0.7236067977499788,0.7236067977499788,0.2236067977499789,0.2236067977499789,0.0,0.0,-0.04,6.854752972273345,3.9600000000000004,2.9600000000000004,1.96,26.26336900881878,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,6.606881964512918,0.0,5.106527394840706,0.0,0.0,13.344558822616634,6.606881964512918,0.0,0.0,0.0,0.0,0.0,11.713409359353623,0.0,0.0,13.344558822616634,0.0,0.0,20.23,0.0,0.0,0.0,6.606881964512918,6.4208216229260096,0.0,0.0,6.923737199690624,0.0,5.106527394840706,0.0,0.0,7.875,0.0,0.0,0.0,0.875,2.25,0.0,1.0,4,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.3887,17.376800000000003,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCO,137.9,8.19736111111111,0.355,8.19736111111111,0.355,0.513281356352027,88.14999999999999,76.05399999999999,88.088815004,38,0.04305223345357219,-0.3963765707960063,0.3963765707960063,0.04305223345357219,1.3333333333333333,2.0,2.1666666666666665,16.249920993384958,10.263374251449198,1.7585175569461067,-1.854824490829793,1.8886357691457698,-1.7805579678492776,4.304159999369914,0.2838073227136418,2.3390923149762908,15.900134529890124,4.82842712474619,4.275640720246148,4.275640720246148,2.914213562373095,2.5233345472033855,2.5233345472033855,1.4307135789365262,1.4307135789365262,0.7616672736016925,0.7616672736016925,0.36180339887498936,0.36180339887498936,-0.04,20.986300857070454,5.959999999999999,4.960000000000001,3.9600000000000004,38.99325323761199,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.765380445542643,6.4208216229260096,6.606881964512918,0.0,5.106527394840706,0.0,0.0,26.186202068468653,6.606881964512918,0.0,0.0,0.0,0.0,0.0,11.713409359353623,0.0,0.0,26.186202068468653,0.0,0.0,20.23,0.0,0.0,0.0,6.606881964512918,12.841643245852019,6.4208216229260096,0.0,0.0,6.923737199690624,5.106527394840706,0.0,0.0,8.19736111111111,0.0,0.0,0.0,3.3269444444444445,2.475694444444444,0.0,1.0,6,1,1,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1.1689,26.61079999999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
